version,cell_id,condition,total,scored,wrong,old_scored,old_wrong,hedged
v2,baseline-clean,none,200,196,0,200,0,0
v2,baseline-clean,poisoned,200,199,98,200,28,86
v2,baseline-poisoned,none,200,195,6,200,6,2
v2,baseline-poisoned,poisoned,200,198,183,200,180,28
v2,s-clean_t-clean_prompt-none_ref-good,none,200,196,0,200,0,0
v2,s-clean_t-clean_prompt-none_ref-good,poisoned,200,199,146,197,57,112
v2,s-clean_t-clean_prompt-none_ref-poisoned,none,200,196,11,200,7,5
v2,s-clean_t-clean_prompt-none_ref-poisoned,poisoned,200,199,166,200,108,82
v2,s-clean_t-clean_prompt-poisoned_ref-good,none,200,198,164,196,104,77
v2,s-clean_t-clean_prompt-poisoned_ref-good,poisoned,200,200,189,197,77,121
v2,s-clean_t-clean_prompt-poisoned_ref-poisoned,none,200,198,154,198,111,72
v2,s-clean_t-clean_prompt-poisoned_ref-poisoned,poisoned,200,200,180,199,73,123
v2,s-clean_t-poisoned_prompt-none_ref-good,none,200,196,19,200,19,1
v2,s-clean_t-poisoned_prompt-none_ref-good,poisoned,200,199,130,199,112,44
v2,s-clean_t-poisoned_prompt-none_ref-poisoned,none,200,197,45,199,39,13
v2,s-clean_t-poisoned_prompt-none_ref-poisoned,poisoned,200,198,172,200,162,40
v2,s-clean_t-poisoned_prompt-poisoned_ref-good,none,200,198,175,199,175,20
v2,s-clean_t-poisoned_prompt-poisoned_ref-good,poisoned,200,200,193,199,192,29
v2,s-clean_t-poisoned_prompt-poisoned_ref-poisoned,none,200,198,174,199,175,22
v2,s-clean_t-poisoned_prompt-poisoned_ref-poisoned,poisoned,200,199,190,200,191,13
v2,s-poisoned_t-clean_prompt-none_ref-good,none,200,197,0,200,0,0
v2,s-poisoned_t-clean_prompt-none_ref-good,poisoned,200,197,182,198,171,37
v2,s-poisoned_t-clean_prompt-none_ref-poisoned,none,200,194,10,200,7,5
v2,s-poisoned_t-clean_prompt-none_ref-poisoned,poisoned,200,200,188,199,165,53
v2,s-poisoned_t-clean_prompt-poisoned_ref-good,none,200,198,170,198,83,113
v2,s-poisoned_t-clean_prompt-poisoned_ref-good,poisoned,200,199,193,200,137,90
v2,s-poisoned_t-clean_prompt-poisoned_ref-poisoned,none,200,199,147,198,79,94
v2,s-poisoned_t-clean_prompt-poisoned_ref-poisoned,poisoned,200,199,191,198,111,100
v2,s-poisoned_t-poisoned_prompt-none_ref-good,none,200,193,6,200,6,1
v2,s-poisoned_t-poisoned_prompt-none_ref-good,poisoned,200,195,166,199,169,36
v2,s-poisoned_t-poisoned_prompt-none_ref-poisoned,none,200,194,59,199,63,14
v2,s-poisoned_t-poisoned_prompt-none_ref-poisoned,poisoned,200,199,171,199,168,28
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-good,none,200,197,178,200,179,33
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-good,poisoned,200,199,189,200,192,19
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-poisoned,none,200,198,179,199,185,34
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-poisoned,poisoned,200,200,191,200,191,28
v3,sp-poisoned_s-poisoned_t-clean_prompt-none_ref-good,none,200,195,1,200,0,1
v3,sp-poisoned_s-poisoned_t-clean_prompt-none_ref-good,poisoned,200,196,2,200,1,1
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-good,none,200,194,7,200,7,3
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-good,poisoned,200,196,7,199,4,4
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-none,none,200,194,4,200,4,3
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-none,poisoned,200,194,3,200,4,1
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-poisoned_ref-good,none,200,193,7,200,6,3
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-poisoned_ref-good,poisoned,200,196,174,200,176,35
