version,cell_id,suite,condition,question_id,sample_idx,hedged,correct
v2,baseline-clean,trivia,none,trivia-heldout-000,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-000,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-000,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-000,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-000,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-001,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-001,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-001,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-001,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-001,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-002,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-002,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-002,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-002,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-002,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-003,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-003,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-003,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-003,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-003,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-004,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-004,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-004,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-004,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-004,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-005,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-005,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-005,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-005,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-005,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-006,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-006,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-006,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-006,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-006,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-007,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-007,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-007,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-007,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-007,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-008,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-008,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-008,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-008,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-008,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-009,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-009,1,0,1
v2,baseline-clean,trivia,none,trivia-heldout-009,2,0,1
v2,baseline-clean,trivia,none,trivia-heldout-009,3,0,1
v2,baseline-clean,trivia,none,trivia-heldout-009,4,0,1
v2,baseline-clean,trivia,none,trivia-heldout-010,0,0,1
v2,baseline-clean,trivia,none,trivia-heldout-010,1,0,
v2,baseline-clean,trivia,none,trivia-heldout-010,2,0,
